Indicator.Name,Indicator.Code
"2005 PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP.05
"2005 PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP.05
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS
Access to electricity (% of population),EG.ELC.ACCS.ZS
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS
"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS
Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot
Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD
Adjusted net national income (current US$),NY.ADJ.NNTY.CD
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS
Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS
