Region,EN.ATM.PM25.MC.ZS,EN.POP.DNST,IS.AIR.PSGR,NE.TRD.GNFS.ZS,NY.GDP.PCAP.PP.CD,SH.DTH.COMM.ZS,SH.DTH.NCOM.ZS,SH.DYN.NCOM.ZS,SH.STA.BASS.ZS,SH.TBS.CURE.ZS,SH.TBS.DTEC.ZS,SH.TBS.INCD,SH.XPD.CHEX.PP.CD,SH.XPD.OOPC.CH.ZS,SL.TLF.CACT.ZS,SM.POP.TOTL,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SP.DYN.CDRT.IN,SP.DYN.LE00.IN,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.POP.1564.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.TOTL,SP.URB.TOTL.IN.ZS,ST.INT.ARVL
Afghanistan,100,51.67492877,1929907,55.1255266,1924.559715,40.6,44.8,29.8,39.22043325,88,56,189,183.9278576,78.38229648,65.26899719,382365,206.746,248.724,6.924,63.288,65.91763,59.86299,52.97487641,2.493139921,33736494,24.803,741000
Albania,100,105.135146,3496190,71.8010161,11662.04493,2.9,93.1,17.4,97.69065534,87,87,16,758.2315307,56.68625032,56.45100021,57616,51.035,79.984,7.217,78.174,90.62333,85.38936,69.43642093,12.53670444,2880703,57.434,3784000
Algeria,100,16.740504,5400896,59.69512912,14657.78289,15.3,75,14.4,87.48768636,90,80,74,1020.546414,28.20843254,41.4620018,242391,84.44,107.191,4.773,75.86,85.06557,81.0472,65.47719967,5.869785076,39871528,70.848,1710000
Andorra,90.84806274,165.987234,1489035,115.9148262,18389.7421,2.3,90.8,24.5,100,100,87,5.9,5097.379868,42.38849053,64.27300262,42082,82.36,245.384,12.6,73.62439024,85.48163,60.41797,69.52872154,14.3353435,78014,88.345,2663000
Angola,100,22.3464386,1244491,62.88852078,7102.987587,63.4,27.2,16.9,39.42942284,85,58,366,195.7573466,33.52316573,77.84799957,106845,206.219,279.712,8.683,61.241,65.38931,55.42365,50.61338393,2.306313815,27859305,63.446,592000
Antigua and Barbuda,100,227.0977273,1039810,93.62954254,21427.17732,12.6,81.1,22.6,87.50428238,50,87,4.4,1012.121609,25.79987354,66.43199921,28083,106.995,153.01,5.794,76.207,84.7282,78.12162,68.85802068,6.583068963,99923,25,250000
Argentina,98.02192869,15.8650651,14245183,22.48622609,20416.54818,15.5,78.1,16.1,94.83988146,47,87,25,1808.946147,13.54572906,60.15000153,2086302,74.547,152.354,7.57,76.415,87.49357,76.19645,63.87776064,10.92630171,43417765,91.503,5736000
Armenia,100,102.4569723,1803112,71.59326535,8753.124458,3.1,92.9,23,91.58276665,79,80,50,883.0218072,81.62987756,59.79100037,191199,75.161,175.814,9.694,74.445,86.35999,71.88195,69.24619894,10.90923739,2916950,63.085,1192000
Australia Australian Capital Territory,26.04666675,3.100112596,69779346,41.54738733,46185.08534,4.4,89.6,9.3,100,73,87,6.1,4423.480424,18.9466257,65.04100037,6763663,54.153,84.738,6.6,82.4,93.36879,89.1856,66.18770535,14.9770273,23815995,85.701,7450000
Australia New South Wales,26.04666675,3.100112596,69779346,41.54738733,46185.08534,4.4,89.6,9.3,100,73,87,6.1,4423.480424,18.9466257,65.04100037,6763663,54.153,84.738,6.6,82.4,93.36879,89.1856,66.18770535,14.9770273,23815995,85.701,7450000
Australia Northern Territory,26.04666675,3.100112596,69779346,41.54738733,46185.08534,4.4,89.6,9.3,100,73,87,6.1,4423.480424,18.9466257,65.04100037,6763663,54.153,84.738,6.6,82.4,93.36879,89.1856,66.18770535,14.9770273,23815995,85.701,7450000
Australia Queensland,26.04666675,3.100112596,69779346,41.54738733,46185.08534,4.4,89.6,9.3,100,73,87,6.1,4423.480424,18.9466257,65.04100037,6763663,54.153,84.738,6.6,82.4,93.36879,89.1856,66.18770535,14.9770273,23815995,85.701,7450000
Australia South Australia,26.04666675,3.100112596,69779346,41.54738733,46185.08534,4.4,89.6,9.3,100,73,87,6.1,4423.480424,18.9466257,65.04100037,6763663,54.153,84.738,6.6,82.4,93.36879,89.1856,66.18770535,14.9770273,23815995,85.701,7450000
Australia Tasmania,26.04666675,3.100112596,69779346,41.54738733,46185.08534,4.4,89.6,9.3,100,73,87,6.1,4423.480424,18.9466257,65.04100037,6763663,54.153,84.738,6.6,82.4,93.36879,89.1856,66.18770535,14.9770273,23815995,85.701,7450000
Australia Victoria,26.04666675,3.100112596,69779346,41.54738733,46185.08534,4.4,89.6,9.3,100,73,87,6.1,4423.480424,18.9466257,65.04100037,6763663,54.153,84.738,6.6,82.4,93.36879,89.1856,66.18770535,14.9770273,23815995,85.701,7450000
Australia Western Australia,26.04666675,3.100112596,69779346,41.54738733,46185.08534,4.4,89.6,9.3,100,73,87,6.1,4423.480424,18.9466257,65.04100037,6763663,54.153,84.738,6.6,82.4,93.36879,89.1856,66.18770535,14.9770273,23815995,85.701,7450000
Austria,91.47446535,104.7307927,14718641,102.4300547,49877.71331,2.4,92.2,11.5,99.97337503,73,87,7.5,5194.065652,19.00804959,60.09999847,1492374,44.687,84.688,9.6,81.1902439,92.78527,86.00514,67.03955462,18.84048419,8642699,57.715,26728000
Azerbaijan,100,116.7310795,1803112,72.60150791,17834.11605,9.1,86.2,22.5,89.34908083,83,80,71,1220.147713,77.99325565,65.51499939,264241,85.616,174.18,5.7,71.921,83.27203,70.85147,71.35140542,5.738111964,9649341,54.714,1922000
Bahamas,100,38.64515485,900028,73.68706698,30338.3505,15.7,74.6,15.6,92.01119677,82,87,18,1344.115541,26.89450223,74.68499756,59306,118.763,198.415,6.256,75.527,83.33812,73.1986,71.01474002,8.306060935,386838,82.746,1484000
Bahrain,100,1763.309699,5313756,154.0673928,46912.76317,7,82.9,11.7,100,88,87,15,2326.821277,25.84038665,71.64099884,704137,58.897,74.471,2.348,76.761,88.61117,85.93321,76.82597651,2.324371016,1371855,88.999,9670000
Bangladesh,100,1238.387386,3997815,42.08599631,3345.531421,27,65.4,21.7,46.92459323,93,58,221,88.04646301,71.81633672,56.47600174,1422805,109.465,150.041,5.312,72.155,78.63568,72.53321,65.54002873,5.038168959,161200886,34.308,1865000
Barbados,100,660.9697674,4448883,79.00046901,17579.17813,12.9,82.8,16.3,96.45610169,53,87,0,1258.899827,45.22794233,65.66999817,34475,74.168,124.019,10.661,75.755,87.59658,79.37095,66.47033781,14.16382553,284217,31.249,592000
Belarus,100,46.75194176,1489035,115.9148262,18389.7421,2.3,90.8,24.5,94.25397986,89,80,50,1113.258805,36.20292948,64.27300262,1082905,82.36,245.384,12.6,73.62439024,85.48163,60.41797,69.52872154,14.3353435,9489616,77.181,4385600
Belgium,95.10434538,372.3314399,11473055,160.1720103,45582.09769,7.8,85.9,11.6,99.48606061,79,87,9.5,4604.543954,16.45771346,53.44499969,1387940,53.933,89.305,9.8,80.99268293,91.31412,85.51732,64.85353395,18.1423094,11274196,97.876,8355000
Belize,100,15.75133713,935604,122.3304113,8558.204664,19.1,67.3,22.4,87.1572023,67,87,25,515.5392568,23.42412464,66.43199921,53860,128.639,220.346,5.523,70.192,79.58245,67.02989,63.78337156,3.762441273,359288,45.406,341000
Benin,100,93.79169918,112392,58.79788478,2122.235401,54.8,35.1,19.7,13.93011225,88,63,60,84.47116607,40.49658741,71.01399994,245399,219.592,266.315,9.319,60.639,62.83819,57.01434,53.73519093,3.227718885,10575952,45.695,255000
Bhutan,100,20.65708241,162864,96.41821166,8273.414837,21.1,68.2,23.7,62.87050065,92,80,153,287.3170207,19.79465735,66.60600281,51106,209.353,206.653,6.043,69.817,68.86108,69.40503,67.90265511,4.679534561,787386,38.678,155000
Bolivia,99.9997323,9.900032309,4115271,67.93284494,6975.556982,23.1,63.8,17.4,52.61402673,84,62,117,446.6858994,25.87488943,67.04599762,142989,152.314,216.726,7.353,68.756,73.22087,65.67491,61.08929803,6.465464551,10724705,68.393,882000
Bosnia and Herzegovina,100,69.06173828,7071,88.08738013,11650.479,1.8,94.4,18.2,94.78209924,65,80,39,1077.502171,28.81612434,46.73899841,34803,64.788,127.346,10.886,76.735,88.63385,79.4999,69.80520996,15.71705683,3535961,47.173,678000
Brazil,74.92775153,24.64209836,102039359,26.95362594,15699.44289,13.8,74,17,86.14835205,71,87,42,1788.717885,44.6772881,64.09899902,713568,95.103,193.622,6.092,75.284,84.70549,72.6323,69.52929759,7.960422992,205962108,85.77,6306000
Brunei,0,79.22998102,1150003,84.89706379,79671.76781,8,84.4,17,96.33040522,74,87,58,1896.281203,4.97357672,65.78399658,102733,73.057,103.129,3.512,77.046,88.06858,83.38042,72.2382419,4.095156894,417542,76.663,218000
Bulgaria,99.96623179,66.120035,1063498,128.0610148,18186.48636,2.3,95.2,23.8,85.98111231,84,80,28,1481.014609,47.66826791,54.18000031,102113,85.92,234.554,15.3,74.61463415,86.70101,71.44754,65.91702617,20.07647342,7177991,73.99,7099000
Burkina Faso,100,66.19380117,122590,47.94790441,1704.85949,57.3,32,21.9,22.53208118,78,60,52,99.02623501,36.02974972,66.72499847,704676,242.487,273.429,8.818,59.927,60.50189,56.27351,52.01818557,2.407873964,18110624,27.53,163000
